Date : 2020-01-10 19:35:10
Directory : /Users/eystein/Documents/Programmering/lagerstatus/src
Total : 183 files,  14633 codes, 242 comments, 1848 blanks, all 16723 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| /Users/eystein/Documents/Programmering/lagerstatus/src/components/history/Completed/CompletedSales.tsx     | TypeScript React |         91 |          0 |          7 |         98 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/components/history/Completed/FunctionsRow.tsx       | TypeScript React |         30 |          0 |          4 |         34 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/components/history/Completed/HistoryTable.tsx       | TypeScript React |         41 |          0 |          5 |         46 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/components/history/Completed/OrderedProducts.tsx    | TypeScript React |         70 |          0 |          6 |         76 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/components/history/Completed/styles.ts              | TypeScript       |          9 |          0 |          2 |         11 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/components/history/Report.tsx                       | TypeScript React |        301 |          0 |         19 |        320 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/components/history/ReportChanges.tsx                | TypeScript React |        330 |          3 |         46 |        379 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/components/history/ReportDatePicker.tsx             | TypeScript React |        125 |          5 |         17 |        147 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/components/history/ReportSkeleton.tsx               | TypeScript React |         29 |          0 |          5 |         34 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/components/history/Reports.tsx                      | TypeScript React |         16 |          0 |          4 |         20 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/components/inventory/EditModals/EditLoan.tsx        | TypeScript React |        186 |          0 |         11 |        197 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/components/inventory/EditModals/EditModal.tsx       | TypeScript React |         89 |          0 |         10 |         99 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/components/inventory/EditModals/EditOrder.tsx       | TypeScript React |        196 |          0 |         13 |        209 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/components/inventory/EditModals/EditProduct.tsx     | TypeScript React |        374 |          5 |         20 |        399 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/components/inventory/EditModals/EditSale.tsx        | TypeScript React |        212 |          0 |         13 |        225 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/components/inventory/EditModals/styles.ts           | TypeScript       |         54 |          0 |         12 |         66 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/components/inventory/HistoryModals/HistoryModal.tsx | TypeScript React |         80 |          0 |          6 |         86 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/components/inventory/HistoryModals/index.ts         | TypeScript       |          2 |          0 |          2 |          4 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/components/inventory/HistoryModals/styles.ts        | TypeScript       |        106 |          0 |         15 |        121 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/components/inventory/NewModals/NewModal.tsx         | TypeScript React |         91 |          0 |          6 |         97 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/components/inventory/NewModals/styles.ts            | TypeScript       |         64 |          0 |         11 |         75 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/components/inventory/OrderedProducts.tsx            | TypeScript React |        189 |          0 |         15 |        204 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/components/inventory/ProductName.tsx                | TypeScript React |          9 |          0 |          2 |         11 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/components/inventory/SelectProduct.tsx              | TypeScript React |        171 |          1 |         18 |        190 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/components/inventory/SelectTarget.tsx               | TypeScript React |        261 |          5 |         36 |        302 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/components/inventory/SuppliersProducts.tsx          | TypeScript React |        104 |          0 |         10 |        114 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/components/profile/ChangeLocation.tsx               | TypeScript React |         75 |          0 |          8 |         83 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/components/profile/ChangePassword.tsx               | TypeScript React |        202 |          0 |         26 |        228 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/components/profile/LocationModal.tsx                | TypeScript React |        161 |          0 |         18 |        179 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/components/util/Buttons.tsx                         | TypeScript React |         88 |          0 |          7 |         95 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/components/util/ColorPicker.tsx                     | TypeScript React |        148 |          2 |         21 |        171 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/components/util/ConfirmModal.tsx                    | TypeScript React |        141 |          0 |         10 |        151 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/components/util/CountdownBar.tsx                    | TypeScript React |         27 |          0 |          7 |         34 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/components/util/Dropdown.tsx                        | TypeScript React |         69 |          0 |          9 |         78 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/components/util/ErrorBoundary.tsx                   | TypeScript React |         21 |          0 |          9 |         30 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/components/util/ExpandableRow.tsx                   | TypeScript React |         36 |          0 |          6 |         42 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/components/util/HoverInfo.tsx                       | TypeScript React |        235 |          0 |         21 |        256 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/components/util/Icons.tsx                           | TypeScript React |         92 |          8 |         15 |        115 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/components/util/LinkWrapper.tsx                     | TypeScript React |         14 |          0 |          4 |         18 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/components/util/Notification.tsx                    | TypeScript React |        135 |          1 |         21 |        157 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/components/util/PageLoading.tsx                     | TypeScript React |         34 |          0 |          5 |         39 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/components/util/SectionHeader.tsx                   | TypeScript React |        207 |          0 |         21 |        228 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/components/util/SectionTable.tsx                    | TypeScript React |         77 |          1 |         13 |         91 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/components/util/Spinner.tsx                         | TypeScript React |         51 |          0 |          5 |         56 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/components/util/TableSkeleton.tsx                   | TypeScript React |         52 |          0 |          9 |         61 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/components/util/Warning.tsx                         | TypeScript React |         13 |          0 |          3 |         16 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/constants/api.ts                                    | TypeScript       |         49 |          0 |          6 |         55 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/constants/dates.ts                                  | TypeScript       |         14 |          0 |          0 |         14 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/constants/mock.ts                                   | TypeScript       |         33 |          0 |          5 |         38 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/constants/routes.ts                                 | TypeScript       |         12 |          0 |          1 |         13 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/constants/util.ts                                   | TypeScript       |        361 |         12 |         45 |        418 |
